"Empresas:";"046-QUATAI"
"Almoxarifados:";"GRUPO CSC, INICIALIZAR KM PEÇAS, DESATIVADO, VIÇOTUR, TRES FRONTEIRAS, PARACATU VENDAS, PARACATU, TRES MARIAS, VAZANTE, JOAO PINHEIRO, VARZEA DA PALMA, LASSANCE, CORINTO, JACOBINA, PRIMUS TURISMO, ITABIRA, TEIXEIRAS, VIÇOSA SERVICE, JUATUBA, DESATIVADO, SANFER VIÇOSA, SANFER ITABIRITO, VIACAO VICOSA, ANSAL VITORINO, ANSAL BANDEIRANTES, VIAÇÃO NOROESTE, LAFAIETE, CONGONHAS, GRANBERY EMPREENDIMENTOS, RIO BRANCO, GODINHOS, UNAI, ALTO HORIZONTE, POUSO ALEGRE, ALMOXAIRFADO LAJU, PLANALTO VIÇOSA, CURVELO, ARIPUANÃ, UBA, INATIVO - ALTO HORIZONTE, QUATAI, ITAGUAI, ITAPETINGA, AGUA CLARA, ARACAJU, DESATIVADO, BARÃO DE COCAIS, TRANSPORTADORA CARAÇA, BOCAIUVA, MINEIROS, MACHADO, SAO FRANCISCO, CAMAPUÃ, DOURADOS, CRIXAS, JATAI, RIO VERDE, PRIMAVERA, MINACU, RESENDE, VICOSA SERVICOS ITAPETINGA, MOOV, ITABIRITO, ESKAVA MINA, PIRAI, PARAÍBA DO SUL, INATIVO - ITABIRA, INATIVO - JUATUBA, INATIVO - JUATUBA, INATIVO - JUATUBA, INATIVO - ANSAL FILIAL, INATIVO - ANSAL MATRIZ, INATIVO - RIO BRANCO, INATIVO - UBÁ, INATIVO - ITAPETINGA, INATIVO - ITAPETINGA, INATIVO - ITAPETINGA, INATIVO - UNAI, INATIVO - MACUCO, INATIVO - PARACATU, INATIVO - ITABIRITO, INATIVO - ITABIRITO, INATIVO - TRÊS FRONTEIRAS, INATIVO - PARACATU, INATIVO - ITABIRA"
"Grupos de Produtos:";"LUBRIFICANTE, GRAXA E ADITIVOS, PECAS E ACESSORIOS, BORRACHARIA, SINISTRO, BATIDAS E PINTURAS, SERVICOS EXTERNO VEICULAR"
"Subgrupos de Produtos:";"Todos"
"Produto:";"00000000000 a 99999999999"
"Período:";"28/05/2026 a 28/05/2026"
"Tipo de Relatório:";"Detalhado"
"Imprimir PMU:";"Não"
"Quebrar por Subgrupo::";"Não"
"Imprimir Produtos Inativos:";"Sim"
"Imprimir Apenas Produtos Movimentados:";"Nao"
"Imprime Apenas Produtos com Contabilização de Saída:";"Não"

Empresa: 046 - QUATAI
Almoxarifado: 446 - QUATAI
Grupo: 04 - LUBRIFICANTE, GRAXA E ADITIVOS
Produtos;Saldo Ant.;Total (R$);Qtd. Entrada;Valor (R$);Qtd. Saída;Valor (R$);Saldo;Total (R$);Locação;
"275237 - MOTOR PASSO SAS MTCO1390";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"275243 - FREIO GAVETA LE MTCO1390";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"275244 - FRONTAL GAVETA MTCO1390";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"275253 - GAVETA MTCO1390";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"275258 - GUIA LUZ MTCO1390";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"275261 - CHICOTE ALTERNADOR FEMEA 2VIAS";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"275272 - FREIO GAVETA LD MTCO1390";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"275322 - MODULO ECM 24V VW17230 REC";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"275323 - PAINEL MULTIPLEX 12 TECLAS 24V TORIN";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"275392 - PORTA FUSIVEL POTENCIA MEGA 90MM";"2,000";"25,40";"0,000";"0,00";"0,000";"0,00";"2,000";"25,40";"C2-3";
"275404 - AUTOMATICO MOTOR PARTIDA 24V MAN";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"275417 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"275448 - VALVULA EGR CHICOTE MAN VW15190";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"E1-5";
"275499 - ANTEPARO COMUTADOR LUZ MB1417";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C2-2";
"275544 - BOTAO CAMPAINHA CAMPIONE";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"275561 - BOTAO PARTIDA  VOLARE/MP/WL/APACHE";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"275565 - ALTERNADOR 24V MOTOR MAN VW17230";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"275586 - PLACA TACOGRAFO MTCO1390";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"275614 - ANEL VEDACAO SENSOR TEMPERATURA MWM ";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"275645 - CONTROLADOR PAINEL ELETRONICO MOBITE";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"275672 - BREAK LIGHT 24V TORINO/VIAGGIO G7";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"275809 - TOMADA PLD 55/16 VIAS MB1721";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"275872 - MOTOR PARTIDA 24V 4,0KW 29MT MWM/MAN";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C1-3";
"275873 - MOTOR PARTIDA 29MT 24V VW17230 REC";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"275918 - CILINDRO IGNICAO CHAVE MB916";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"276008 - FUSIVEL LAMINA MINI VERMELHO 10AMP";"15,000";"3,53";"0,000";"0,00";"0,000";"0,00";"15,000";"3,53";"";
"276009 - FUSIVEL LAMINA MINI AZUL 15AMP";"9,000";"2,16";"0,000";"0,00";"0,000";"0,00";"9,000";"2,16";"";
"276016 - MOTOR PARTIDA 24V 4,0KW 29MT MWM/MAN";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"276028 - PALHETA UNIVERSAL 14"" 609MM FURO 3MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C2-4";
"276038 - POLIA ALTERNADOR MOTOR MAN VW15190";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"276067 - SENSOR PRESSAO TUBO RAIL MOTOR MAN/C";"1,000";"155,98";"0,000";"0,00";"0,000";"0,00";"1,000";"155,98";"E1-2";
"276081 - SENSOR PRESSAO OLEO LUBRIFICANTE VW1";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"276170 - CONTROLADOR PAINEL ELETRONICO REDUZI";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"276507 - PAINEL INSTRUMENTO Z519078/55 MB1417";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"276732 - SENSOR PLUG ACOPLAMENTO FILTRO ELETR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"276738 - CHICOTE ADAPTADOR MOTOR MAN VW15190";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"299006 - PEDAL ACELERADOR MB916";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"299600 - RELE SUPERIOR CENTRAL ELETRICA 12/24";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"300454 - SENSOR INDUTIVO REDONDO 4 PINOS 63MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"301205 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"301213 - LANTERNA RE LED CRISTAL LD 24V APACH";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C3-5";
"301221 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"301230 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"301248 - SINALIZADOR LED DIANTEIRO LADO DIREI";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"301264 - LUZ PISCA LD TORINO/2014";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"301272 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"301353 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"301370 - MOTOR PARTIDA 11 DENTES 29MT 24V 4KW";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"301639 - SENSOR BOMBA COMBUSTIVEL MPRO CP3 MA";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"E1-5";
"302031 - SENSOR ROTACAO FASE MAN VW17230";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C";
"302040 - SENSOR LAMBDA MAN VW17230";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"302635 - CENTRAL ELETRICA CAIO ALPHA/APACHE";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"302741 - EIXO PRINCIPAL LIMPADOR PARABRISA TO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"303071 - FITA ISOLANTE TECIDO 19MMX50M";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"D6-3";
"303364 - CONECTOR FEMEA NEUTRO 2VIAS";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C1-4";
"304331 - BOTOEIRA 3 FUNCOES 4 VIAS ORTOBRAS";"1,000";"160,00";"0,000";"0,00";"0,000";"0,00";"1,000";"160,00";"C3-5";
"306691 - FUSIVEL MIDI 40A";"1,000";"6,50";"0,000";"0,00";"0,000";"0,00";"1,000";"6,50";"";
"306701 - FUSIVEL MIDI 60A";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"312311 - FUSIVEL MIDI 80A";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"312321 - FUSIVEL MIDI 100AMP";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313279 - AUTOMATICO MOTOR PARTIDA VW17230";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"B5";
"313280 - PLACA PORTA ESCOVA MOTOR PARTIDA VW1";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313295 - KIT CARCACA BOBINA CAMPO ESCOVA MOTO";"4,000";"919,60";"0,000";"0,00";"0,000";"0,00";"4,000";"919,60";"E1-2";
"313419 - SENSOR INTERRUPTOR PRIMEIRA MARCHA M";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C";
"313474 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313487 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313488 - TOMADA CHICOTE PRESSAO OLEO PINOS MB";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313507 - INTERRUPTOR PISCA ALERTA MB916";"3,000";"66,87";"0,000";"0,00";"0,000";"0,00";"3,000";"66,87";"C1-5";
"313508 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313529 - LACRE PLASTICO AZUL ORIGINAL VDO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313536 - CABO PP 5X1MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313644 - CHICOTE LAMPADA H7";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313783 - SENSOR ROTACAO FASE RABICHO MAN VW15";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313829 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313832 - INDUZIDO MOTOR PARTIDA MAN VW17230";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313890 - CABO FLEX 750V /0,75MM AM 70G CL4 NM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313891 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313893 - CABO MANGA 4X24AWG 70G BTC 300V BG C";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313894 - CABO MANGA 4X24AWG 70G BTC 300V BG C";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313895 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313896 - CABO MANGA 4X24AWG 70G BTC 300V BG C";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313956 - ABRACADEIRA BORRACHA TUBO 6MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"E1-4";
"313957 - ABRACADEIRA BORRACHA TUBO 8MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"E1-4";
"313958 - ABRACADEIRA BORRACHA TUBO 10MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"E1-4";
"313959 - ABRACADEIRA BORRACHA TUBO 12MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"E1-4";
"313960 - ABRACADEIRA BORRACHA TUBO 16MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"E1-4";
"313961 - ABRACADEIRA BORRACHA TUBO 20MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313962 - ABRACADEIRA BORRACHA TUBO 18MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313963 - CONECTOR 4 VIAS MACHO\FEMEA SERIE 6,";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313965 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313966 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313968 - TERMINAL TRAVA MACHO FIO 0,75";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313969 - CABINHO AUTO VERMELHO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313970 - CABINHO AUTO AZUL";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313971 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313972 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313973 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313974 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313975 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313976 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313977 - ESPAGUETE CORRUGADO ANTICHAMA 5/16"" ";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313978 - ESPAGUETE CORRUGADO ANTICHAMA 3/4 19";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313982 - ABRACADEIRA NYLON 3,6X150MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313983 - ABRACADEIRA NYLON 2,5X100MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"BA-NC-AD";
"313984 - ABRACADEIRA NYLON 3,6X150MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313985 - ABRACADEIRA NYLON 4,9X200MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313986 - ABRACADEIRA NYLON 4,8X250MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313987 - ABRACADEIRA NYLON PRETA 4,9X280MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313988 - ABRACADEIRA NYLON 12,4X540MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313989 - FITA AUTO FUSAO EMBORRACHADA 19MMX02";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"D6-3";
"313990 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313991 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314004 - RELE CHAVE GERAL 24V";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C2-2";
"314006 - SENSOR NUMERO ROTACAO VW17230";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314052 - GARRA BATERIA 75MMX60AMP";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C";
"314053 - ABRACADEIRA BORRACHA TUBO 43MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"B2-4";
"314054 - FUSIVEL LAMINA MAXI 20 AMP";"35,000";"76,11";"0,000";"0,00";"0,000";"0,00";"35,000";"76,11";"C2-6";
"314055 - FUSIVEL LAMINA 25 AMP BRANCO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C1-6";
"314056 - FUSIVEL LAMINA MAXI 30 AMP";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C2-6";
"314057 - FUSIVEL LAMINA MAXI 40A.";"41,000";"81,19";"0,000";"0,00";"0,000";"0,00";"41,000";"81,19";"C2-6";
"314058 - FUSIVEL LAMINA MAXI 60AMP";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C2-6";
"314059 - FUSIVEL LAMINA MAXI 50AMP";"44,000";"91,08";"0,000";"0,00";"0,000";"0,00";"44,000";"91,08";"C2-6";
"314129 - CHICOTE REPARO FEMEA 2 VIAS 150MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C2-4";
"314130 - CHICOTE CABO REPARO 3VIAS FEMEA 150M";"2,000";"29,54";"0,000";"0,00";"0,000";"0,00";"2,000";"29,54";"C2-4";
"314192 - KIT TRAVA COMANDO ELETRICO CONECTOR ";"1,000";"256,00";"0,000";"0,00";"0,000";"0,00";"1,000";"256,00";"B2-6";
"314195 - FITA LED 5 METROS IP20 2700K QUENTE ";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314242 - CONTROLADOR CAMPAINHA WIRELESS COMIL";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314282 - RELE PISCA MB1418";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314324 - FUSIVEL MEGA ANTICHAMA 125A 32V";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C3-4";
"314325 - FUSIVEL MEGA ANTICHAMA 150A 32V";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C3-4";
"314368 - CARCACA TRAVA DIRECAO MB916";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314387 - BOTAO PARADA SOLICITADA SVELTO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C2-3";
"314506 - REPARO MOTOR PARTIDA COMPLETO 12/24V";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314570 - SENSOR INDUTIVO VELOCIDADE MB916";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314573 - PORTA FUSIVEL MIDI 50MM";"6,000";"50,40";"0,000";"0,00";"0,000";"0,00";"6,000";"50,40";"C2-5";
"314594 - CHICOTE REPARO SENSOR BORBOLETA 3VIA";"2,000";"12,46";"0,000";"0,00";"0,000";"0,00";"2,000";"12,46";"";
"314597 - SENSOR NIVEL AGUA RESERVATORIO MB141";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"B2-5";
"314720 - BOTAO PARADA SOLICITADA PASSAGEIRO S";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314723 - BOTAO PARADA BALAUSTRE CINZA WIRELES";"4,000";"280,00";"0,000";"0,00";"0,000";"0,00";"4,000";"280,00";"C2-3";
"314748 - MODULO COMANDO CPC 1 MB1418";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314749 - MODULO ELETRONICO CPC FR MPS REAL. 2";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314772 - REGUA LED BRANCO 1200X20MM TORINO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"D4-1";
"314945 - REGUA LED 300X30MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315046 - CABO FLEXIVEL PP 2X1,00 25M";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315226 - SUPORTE VALVULA FLUIDTRONIC VW15190";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315227 - PARAFUSO SUPORTE VALVULA FLUITRONIC ";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315228 - CHICOTE VALVULA FLUITRONIC VW15190";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315274 - MOTOR PORTA VIDRO PESADO 24V REC";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315353 - RELE PORTA ANTIESMAGAMENTO 24 VDC CO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315399 - REGUA LED 6 LEDS 24V 550X25MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C2-6";
"315520 - MODULO PLD MB1417";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315521 - MODULO ADM FR MB916";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315535 - CONECTOR REGULADOR ALTERNADOR 90 AMP";"3,000";"71,10";"0,000";"0,00";"0,000";"0,00";"3,000";"71,10";"C1-3";
"315536 - CHICOTE SENSOR TURBO 4VIAS MB1417";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C1-4";
"315651 - MODULO RECEPTOR PARADA SOLICITADA 10";"1,000";"282,00";"0,000";"0,00";"0,000";"0,00";"1,000";"282,00";"C2-2";
"315707 - CABO MANGA 3X22AWG";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315818 - CABO FLEXIVEL 10MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315896 - LAMPADA SUPER LED HEADLIGHT H4 6000K";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315967 - ALTERNADOR POLIA MOTOR MAN VW15190";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315996 - CONECTOR RABICHO MODULO EDC7 89 VIAS";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"316016 - CARCACA CHAVE SETA LIMPADOR PARABRIS";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"316143 - MANCAL ANEL ROLAMENTO DIODO ALTERNAD";"1,000";"182,88";"0,000";"0,00";"0,000";"0,00";"1,000";"182,88";"";
"316165 - TERMINAL ELETRICO FEMEA TRAVA 6,7MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"316187 - INTERRUPTOR LUZ FAROL NEBLINA MB1418";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"316459 - LAMPADA 60/55 W 12V H4";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"316685 - RELE CONTROLE SENSOR LAMPADA PORTA T";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"317080 - LAMPADA PINGAO 12V";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"317081 - LAMPADA POLO AMARELA 1/2 12V";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"317083 - LAMPADA SUPER PINGAO 12V";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"317232 - ESPAGUETE CORRUGADO 3,16"" 4,5MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"317415 - BOTOEIRA ELEVADOR ON";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"317444 - MOTOR PORTA VIDRO PESADO 24V";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"317535 - ABRACADEIRA NYLON 9,0X530MM";"21,000";"42,74";"0,000";"0,00";"0,000";"0,00";"21,000";"42,74";"";
"317774 - CHICOTE PLUG BRANCO 8VIAS MTCO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"317786 - ABRACADEIRA NYLON 4,8X360MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"317820 - CARCACA MTCO1390";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"317821 - CHAVE FIM CURSO HASTE CURTA ROLETE 5";"5,000";"118,50";"0,000";"0,00";"0,000";"0,00";"5,000";"118,50";"C7-2";
"317831 - FITA LED 5 METROS IP65 6500K FRIO 24";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
